,Unnamed: 0,Destination Name,State,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station,Description,Activities,Budget,Best_Time
15,15,Udaipur,Rajasthan,Heritage,City Palace,Easy,Udaipur Airport,Udaipur City,"Udaipur is a city in Rajasthan, India. It is the capital of Rajasthan and is the capital of the Rajasthan state. The city is the home of the Rajasthan State Legislative Assembly. The city is also the home of the Rajasthan State Assembly.","monument visits, cultural tours",medium,October to March
16,16,Darjeeling,West Bengal,Nature,Tiger Hill,Moderate,Bagdogra Airport,Darjeeling,Darjeeling is a popular tourist destination in West Bengal.,"sightseeing, photography, relaxation",low,October to March
17,17,Munnar,Kerala,Nature,Tea Gardens,Moderate,Cochin International,Ernakulam,Munnar is a city in the state of Kerala. It is famous for its tea gardens.,"sightseeing, photography, relaxation",high,October to March
18,18,Ajanta and Ellora Caves,Maharashtra,Heritage,Ajanta Caves,Moderate,Aurangabad Airport,Aurangabad,Ajanta and Ellora Caves are located in the Ajanta and Ellora Caves in Maharashtra.,"monument visits, cultural tours",medium,October to March
19,19,Cherrapunji,Meghalaya,Nature,Nohkalikai Falls,Difficult,Shillong Airport,Guwahati,Cherrapunji is a village in the Meghalaya district of Tamil Nadu. It is located on the banks of the Cherrapunji River. The village is located on the banks of the Cherrapunji River.,"sightseeing, photography, relaxation",low,October to March
20,20,Agra,Uttar Pradesh,Heritage,Taj Mahal,Air/Rail/Road,Agra Airport,Agra Cantonment,"Agra is a city in Uttar Pradesh, India. It is the capital of Uttar Pradesh state. The city is famous for its famous Taj Mahal.","monument visits, cultural tours",low,October to March
21,21,Lucknow,Uttar Pradesh,Heritage,Bara Imambara,Air/Rail/Road,Chaudhary Charan Singh Airport,Lucknow Charbagh,The Bara Imambara is a temple in Uttar Pradesh.,"monument visits, cultural tours",low,October to March
22,22,Mathura,Uttar Pradesh,Religious,Krishna Janmabhoomi Temple,Rail/Road,Agra Airport,Mathura Junction,"Mathura is a city in Uttar Pradesh, India. It is the capital of the state of Uttar Pradesh. The city is the home of the Krishna Janmabhoomi Temple.","temple visits, spiritual activities",low,All year
23,23,Vrindavan,Uttar Pradesh,Religious,Banke Bihari Temple,Rail/Road,Agra Airport,Mathura Junction,"Vrindavan is a village in the district of Vrindavan, Uttar Pradesh. It is located on the banks of the River Ganges. The village is famous for the Banke Bihari Temple.","temple visits, spiritual activities",low,All year
24,24,Allahabad,Uttar Pradesh,Religious,Triveni Sangam,Air/Rail/Road,Bamrauli Airport,Prayagraj Junction,"The Triveni Sangam is a temple in Allahabad, Uttar Pradesh.","temple visits, spiritual activities",low,All year
25,25,Ayodhya,Uttar Pradesh,Religious,Ram Janmabhoomi,Rail/Road,Ayodhya Airport,Ayodhya Junction,"Ayodhya is a village in the district of Ayodhya, Uttar Pradesh, India. It is located on the banks of the Ganges. The village is famous for its Ram Janmabhoomi temple.","temple visits, spiritual activities",low,All year
26,26,Fatehpur Sikri,Uttar Pradesh,Heritage,Buland Darwaza,Road,Agra Airport,Fatehpur Sikri Railway Station,"Fatehpur Sikri is a village in Uttar Pradesh, India. It is located on the banks of the River Buland. The village is famous for its Buland Darwaza.","monument visits, cultural tours",low,October to March
27,27,Jodhpur,Rajasthan,Heritage,Mehrangarh Fort,Air/Rail/Road,Jodhpur Airport,Jodhpur Junction,"Jodhpur is a city in Rajasthan, India. It is the capital of Rajasthan and is the capital of the Rajasthan state. The city is the location of the Mehrangarh Fort.","monument visits, cultural tours",medium,October to March
28,28,Pushkar,Rajasthan,Religious,Brahma Temple,Road,Kishangarh Airport,Ajmer Junction,"Pushkar is a city in Rajasthan, India. It is the capital of Pushkar district. The Brahma Temple is a temple in Pushkar.","temple visits, spiritual activities",medium,All year
29,29,Ranthambore,Rajasthan,Nature,Ranthambore National Park,Rail/Road,Jaipur International Airport,Sawai Madhopur,Ranthambore National Park is a national park in Rajasthan.,"sightseeing, photography, relaxation",medium,October to March
30,30,Bikaner,Rajasthan,Heritage,Junagarh Fort,Rail/Road,Nal Airport,Bikaner Junction,"Bikaner is a city in Rajasthan, India. It is located in the north of the city, near Junagarh Fort. The city is also known for its sandstone and sandstone ruins.","monument visits, cultural tours",medium,October to March
31,31,Ajmer,Rajasthan,Religious,Dargah Sharif,Rail/Road,Kishangarh Airport,Ajmer Junction,"Ajmer is a city in Rajasthan, India. It is the capital of Rajasthan and is the capital of the Rajasthan state. The Dargah Sharif is a shrine in the heart of the city.","temple visits, spiritual activities",medium,All year
32,32,Bundi,Rajasthan,Heritage,Taragarh Fort,Road,Jaipur International Airport,Bundi Railway Station,"Bundi is a city in Rajasthan, India. It is located in the north of the city, near the Taragarh Fort.","monument visits, cultural tours",medium,October to March
33,33,Chittorgarh,Rajasthan,Heritage,Chittorgarh Fort,Rail/Road,Maharana Pratap Airport,Chittorgarh Junction,Chittorgarh Fort is a fort in the Rajasthan state of Rajasthan.,"monument visits, cultural tours",medium,October to March
34,34,Panaji,Goa,Heritage,Basilica of Bom Jesus,Air/Rail/Road,Goa International Airport,Karmali Railway Station,"Panaji is a city in Goa, India. It is the capital of the state of Goa. The Basilica of Bom Jesus is located in the city.","monument visits, cultural tours",high,October to March
35,35,Calangute,Goa,Beach,Calangute Beach,Road,Goa International Airport,Thivim Railway Station,Calangute is a popular tourist destination in Goa.,"swimming, sunbathing, water sports, nightlife",high,November to February
36,36,Anjuna,Goa,Beach,Anjuna Beach,Road,Goa International Airport,Thivim Railway Station,Anjuna is a popular tourist destination in Goa. It is located on the banks of the Anjuna River.,"swimming, sunbathing, water sports, nightlife",high,November to February
37,37,Palolem,Goa,Beach,Palolem Beach,Road,Goa International Airport,Canacona Railway Station,Palolem is a popular tourist destination in Goa. It is located in the north of the city and is a popular tourist destination.,"swimming, sunbathing, water sports, nightlife",high,November to February
38,38,Old Goa,Goa,Heritage,Se Cathedral,Road,Goa International Airport,Karmali Railway Station,The old Goa is a place where you can see the Se Cathedral.,"monument visits, cultural tours",high,October to March
39,39,Vagator,Goa,Beach,Vagator Beach,Road,Goa International Airport,Thivim Railway Station,Vagator is a popular tourist destination in Goa.,"swimming, sunbathing, water sports, nightlife",high,November to February
40,40,Thiruvananthapuram,Kerala,Heritage,Padmanabhaswamy Temple,Air/Rail/Road,Trivandrum International Airport,Thiruvananthapuram Central,"The Padmanabhaswamy Temple is a temple in Thiruvananthapuram, Kerala. The temple is located in the city of Thiruvananthapuram.","monument visits, cultural tours",high,October to March
41,41,Alleppey,Kerala,Nature,Backwaters Houseboat,Rail/Road,Cochin International Airport,Alleppey Railway Station,"Alleppey is a small village in the north of Kerala, India. It is located on the banks of the River Ganga. The village is famous for its Houseboats.","sightseeing, photography, relaxation",high,October to March
42,42,Kochi,Kerala,Heritage,Fort Kochi,Air/Rail/Road,Cochin International Airport,Ernakulam Junction,The city of Kochi is a popular tourist destination in Kerala. The city is famous for its fort Kochi.,"monument visits, cultural tours",high,October to March
43,43,Wayanad,Kerala,Nature,Edakkal Caves,Road,Calicut International Airport,Kozhikode Railway Station,Wayanad is a village in the district of Wayanad in the Indian state of Kerala. The village is located on the banks of the Edakkal River.,"sightseeing, photography, relaxation",high,October to March
44,44,Thekkady,Kerala,Nature,Periyar Wildlife Sanctuary,Road,Madurai Airport,Kottayam Railway Station,Thekkady is a popular tourist destination in Kerala. Thekkady is a popular tourist destination in Kerala. Thekkady is a popular tourist destination in Kerala.,"sightseeing, photography, relaxation",high,October to March
45,45,Varkala,Kerala,Beach,Varkala Cliff Beach,Rail/Road,Trivandrum International Airport,Varkala Sivagiri,Varkala is a popular tourist destination in Kerala. It is also known for its beaches and the Varkala Cliff Beach.,"swimming, sunbathing, water sports, nightlife",high,November to February
46,46,Kozhikode,Kerala,Heritage,Kappad Beach,Air/Rail/Road,Calicut International Airport,Kozhikode Railway Station,Kozhikode is a popular tourist destination in Kerala. It is located in the north of the state and is a popular tourist destination. The beach is located in the north of the state.,"monument visits, cultural tours",high,October to March
47,47,Dharamsala,Himachal Pradesh,Religious,Dalai Lama Temple,Air/Road,Gaggal Airport,Pathankot Junction,The Dalai Lama Temple is a Buddhist temple in the Himalayan region of Himachal Pradesh.,"temple visits, spiritual activities",medium,All year
48,48,Spiti Valley,Himachal Pradesh,Adventure,Key Monastery,Road,Kullu Manali Airport,Shimla Railway Station,"The Spiti Valley is a valley in Himachal Pradesh, India. It is the home of the Key Monastery.","rafting, trekking, camping, skiing",medium,March to June
49,49,Kasol,Himachal Pradesh,Adventure,Kheerganga Trek,Road,Kullu Manali Airport,Joginder Nagar Railway Station,Kasol is a village in Himachal Pradesh state. It is located on the banks of the Kheerganga River. The Kheerganga Trek is a trek to the Himalayan region of Himachal Pradesh.,"rafting, trekking, camping, skiing",medium,March to June
50,50,Kullu,Himachal Pradesh,Nature,Kullu Valley,Air/Road,Kullu Manali Airport,Joginder Nagar Railway Station,Kullu is a valley in Himachal Pradesh. Kullu is a village in the Kullu District.,"sightseeing, photography, relaxation",medium,October to March
51,51,Dalhousie,Himachal Pradesh,Mountains,Khajjiar Lake,Road,Amritsar International Airport,Pathankot Junction,Dalhousie is a village in Himachal Pradesh state. It is located on the banks of Khajjiar Lake.,"trekking, hiking, camping, snow activities",medium,March to June
52,52,Kolkata,West Bengal,Heritage,Victoria Memorial,Air/Rail/Road,Netaji Subhas Chandra Bose International Airport,Howrah Junction,"The Victoria Memorial is a monument in Kolkata, West Bengal.","monument visits, cultural tours",low,October to March
53,53,Digha,West Bengal,Beach,Digha Beach,Rail/Road,Netaji Subhas Chandra Bose International Airport,Digha Railway Station,Digha is a popular tourist destination in West Bengal.,"swimming, sunbathing, water sports, nightlife",low,November to February
54,54,Bishnupur,West Bengal,Heritage,Terracotta Temples,Rail/Road,Netaji Subhas Chandra Bose International Airport,Bishnupur Railway Station,"Bishnupur is a village in the district of Bishnupur, in the Central District of West Bengal. It is located on the banks of the River Bishnupur. The village is famous for its terracotta temples.","monument visits, cultural tours",low,October to March
55,55,Murshidabad,West Bengal,Heritage,Hazarduari Palace,Rail/Road,Netaji Subhas Chandra Bose International Airport,Murshidabad Railway Station,"The Hazarduari Palace is a large, imposing building in Murshidabad, West Bengal.","monument visits, cultural tours",low,October to March
56,56,Ludhiana,Punjab,Heritage,Punjab Agricultural University,Air/Rail/Road,Sahnewal Airport,Ludhiana Junction,"Ludhiana is a city in Punjab, India. It is the capital city of Punjab. Ludhiana is the capital city of Punjab.","monument visits, cultural tours",low,October to March
57,57,Anandpur Sahib,Punjab,Religious,Takht Sri Kesgarh Sahib,Road,Chandigarh Airport,Anandpur Sahib Railway Station,"Anandpur Sahib is a sahib in Punjab, known for its Takht Sri Kesgarh Sahib.","temple visits, spiritual activities",low,All year
58,58,Patiala,Punjab,Heritage,Qila Mubarak,Rail/Road,Chandigarh Airport,Patiala Railway Station,Patiala is a village in the Punjab state of Punjab. It is located on the banks of the River Ganges. The village is a popular tourist destination.,"monument visits, cultural tours",low,October to March
59,59,Chennai,Tamil Nadu,Heritage,Marina Beach,Air/Rail/Road,Chennai International Airport,Chennai Central,"Chennai is a city in Tamil Nadu, India. The city is famous for its Marina Beach.","monument visits, cultural tours",medium,October to March
60,60,Madurai,Tamil Nadu,Religious,Meenakshi Amman Temple,Air/Rail/Road,Madurai Airport,Madurai Junction,Madurai is a city in Tamil Nadu state. It is the capital of the state and is the capital of the Tamil Nadu state. The Meenakshi Amman Temple is a temple in the city.,"temple visits, spiritual activities",medium,All year
61,61,Ooty,Tamil Nadu,Mountains,Nilgiri Mountain Railway,Rail/Road,Coimbatore International Airport,Ooty Railway Station,The Nilgiri Mountain Railway is a railway in Tamil Nadu.,"trekking, hiking, camping, snow activities",medium,March to June
62,62,Kanchipuram,Tamil Nadu,Religious,Kailasanathar Temple,Rail/Road,Chennai International Airport,Kanchipuram Railway Station,Kanchipuram is a temple in Tamil Nadu. It is located in the Kanchipuram district. The temple is located in the Kanchipuram district.,"temple visits, spiritual activities",medium,All year
63,63,Rameswaram,Tamil Nadu,Religious,Ramanathaswamy Temple,Rail/Road,Madurai Airport,Rameswaram Railway Station,Rameswaram is a temple in Tamil Nadu. It is located in the north of the city.,"temple visits, spiritual activities",medium,All year
64,64,Kodaikanal,Tamil Nadu,Mountains,Kodaikanal Lake,Road,Madurai Airport,Kodai Road Railway Station,Kodaikanal is a popular tourist destination in Tamil Nadu. It is located in the north of the state and is the main tourist destination of the state.,"trekking, hiking, camping, snow activities",medium,March to June
65,65,Thanjavur,Tamil Nadu,Heritage,Brihadeeswarar Temple,Rail/Road,Tiruchirappalli Airport,Thanjavur Junction,"The Brihadeeswarar Temple is a temple in Thanjavur, Tamil Nadu.","monument visits, cultural tours",medium,October to March
66,66,Port Blair,Andaman and Nicobar Islands,Heritage,Cellular Jail,Air,Veer Savarkar International Airport,No Railway,Port Blair is a city in Andaman and Nicobar Islands known for its Cellular Jail.,"monument visits, cultural tours",high,October to March
67,67,Havelock Island,Andaman and Nicobar Islands,Beach,Radhanagar Beach,Air,Veer Savarkar International Airport,No Railway,Havelock Island is a small island in the Andaman and Nicobar Islands. It is located on the east coast of the island. The island is a popular tourist destination.,"swimming, sunbathing, water sports, nightlife",high,November to February
68,68,Neil Island,Andaman and Nicobar Islands,Beach,Bharatpur Beach,Air,Veer Savarkar International Airport,No Railway,Neil Island is a small island in the Andaman and Nicobar Islands. It is located on the north coast of the island. The beach is a popular spot for snorkeling and diving.,"swimming, sunbathing, water sports, nightlife",high,November to February
69,69,Baratang Island,Andaman and Nicobar Islands,Nature,Limestone Caves,Road,Veer Savarkar International Airport,No Railway,Baratang Island is a small island in the Andaman and Nicobar Islands. It is located on the north coast of the island. The island is a popular tourist destination for tourists.,"sightseeing, photography, relaxation",high,October to March
70,70,Guwahati,Assam,Religious,Kamakhya Temple,Air/Rail/Road,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,The Kamakhya Temple is a temple in Assam.,"temple visits, spiritual activities",low,All year
71,71,Kaziranga,Assam,Nature,Kaziranga National Park,Road,Jorhat Airport,Furkating Junction,Kaziranga National Park is a national park in Assam.,"sightseeing, photography, relaxation",low,October to March
72,72,Majuli,Assam,Nature,River Island,Road,Jorhat Airport,Jorhat Town,Majuli is a village in the Assam state of Assam. It is located on the banks of the River Ganges.,"sightseeing, photography, relaxation",low,October to March
73,73,Dibrugarh,Assam,Nature,Dibru-Saikhowa National Park,Air/Rail/Road,Dibrugarh Airport,Dibrugarh Town,Dibrugarh is a city in Assam. It is located in the north of the city. The city is famous for its sandstone temples and the sandstone cliffs.,"sightseeing, photography, relaxation",low,October to March
74,74,Tezpur,Assam,Heritage,Agnigarh Hill,Rail/Road,Tezpur Airport,Dekargaon Railway Station,Tezpur is a city in Assam. It is the capital of Assam. The Agnigarh Hill is a hill in Assam.,"monument visits, cultural tours",low,October to March
75,75,Bengaluru,Karnataka,Heritage,Lalbagh Botanical Garden,Air/Rail/Road,Kempegowda International Airport,Bengaluru City Junction,"The Lalbagh Botanical Garden is a botanical garden in Bangalore, Karnataka.","monument visits, cultural tours",medium,October to March
76,76,Mysuru,Karnataka,Heritage,Mysore Palace,Air/Rail/Road,Mysore Airport,Mysuru Junction,Mysuru is a city in Karnataka state. It is located in the north of the state and is the location of the Mysore Palace.,"monument visits, cultural tours",medium,October to March
77,77,Hampi,Karnataka,Heritage,Virupaksha Temple,Rail/Road,Hubli Airport,Hospet Junction,The Virupaksha Temple is a temple in the Karnataka state.,"monument visits, cultural tours",medium,October to March
78,78,Coorg,Karnataka,Nature,Abbey Falls,Road,Mangalore International Airport,Mysuru Junction,Coorg is a city in Karnataka state. Abbey Falls is a waterfall in Coorg.,"sightseeing, photography, relaxation",medium,October to March
79,79,Badami,Karnataka,Heritage,Badami Cave Temples,Rail/Road,Hubli Airport,Badami Railway Station,Badami is a village in Karnataka state. It is located on the banks of the Badami River. The Badami Cave Temples are a temple in Badami.,"monument visits, cultural tours",medium,October to March
80,80,Belur,Karnataka,Heritage,Chennakesava Temple,Road,Mangalore International Airport,Hassan Railway Station,"The Chennakesava Temple is a temple in Belur, Karnataka.","monument visits, cultural tours",medium,October to March
81,81,Halebidu,Karnataka,Heritage,Hoysaleswara Temple,Road,Mangalore International Airport,Hassan Railway Station,The Hoysaleswara Temple is a temple in the state of Karnataka.,"monument visits, cultural tours",medium,October to March
82,82,Udupi,Karnataka,Religious,Udupi Krishna Temple,Rail/Road,Mangalore International Airport,Udupi Railway Station,Udupi is a village in the Karnataka state of Karnataka. It is located on the banks of the River Udupi. The village is a popular tourist destination.,"temple visits, spiritual activities",medium,All year
83,83,Haridwar,Uttarakhand,Religious,Har Ki Pauri Ghat,Rail/Road,Jolly Grant Airport,Haridwar Junction,Har Ki Pauri Ghat is a shrine dedicated to the goddess Hari.,"temple visits, spiritual activities",medium,All year
84,84,Nainital,Uttarakhand,Mountains,Naini Lake,Road,Pantnagar Airport,Kathgodam Railway Station,"Nainital is a city in Uttarakhand, India. It is the capital of Naini Lake District.","trekking, hiking, camping, snow activities",medium,March to June
85,85,Mussoorie,Uttarakhand,Mountains,Kempty Falls,Road,Jolly Grant Airport,Dehradun Railway Station,"Mussoorie is a village in the district of Mussoorie, Uttarakhand. It is located on the banks of the Kempty River.","trekking, hiking, camping, snow activities",medium,March to June
86,86,Jim Corbett,Uttarakhand,Nature,Corbett National Park,Rail/Road,Pantnagar Airport,Ramnagar Railway Station,Jim Corbett is a national park in Uttarakhand.,"sightseeing, photography, relaxation",medium,October to March
87,87,Auli,Uttarakhand,Adventure,Auli Ski Resort,Road,Jolly Grant Airport,Haridwar Junction,Auli is a village in the Auli district of Uttarakhand. It is located on the banks of the Auli River.,"rafting, trekking, camping, skiing",medium,March to June
88,88,Kedarnath,Uttarakhand,Religious,Kedarnath Temple,Road,Jolly Grant Airport,Haridwar Junction,Kedarnath is a popular tourist destination in Uttarakhand. It is located in the north of the state and is the main gateway to the Himalayan region.,"temple visits, spiritual activities",medium,All year
89,89,Badrinath,Uttarakhand,Religious,Badrinath Temple,Road,Jolly Grant Airport,Haridwar Junction,Badrinath is a temple in Uttarakhand. It is located in the north of the city.,"temple visits, spiritual activities",medium,All year
90,90,Shillong,Meghalaya,Mountains,Umiam Lake,Air/Road,Shillong Airport,Guwahati Railway Station,"Shillong is a city in Meghalaya, India. It is located on the banks of Umiam Lake.","trekking, hiking, camping, snow activities",low,March to June
91,91,Mawlynnong,Meghalaya,Nature,Cleanest Village in Asia,Road,Shillong Airport,Guwahati Railway Station,"Mawlynnong is a village in Meghalaya, India. It is known for its cleanest village in Asia.","sightseeing, photography, relaxation",low,October to March
92,92,Dawki,Meghalaya,Nature,Umngot River,Road,Shillong Airport,Guwahati Railway Station,The Umngot River is a river in Meghalaya.,"sightseeing, photography, relaxation",low,October to March
93,93,Mumbai,Maharashtra,Heritage,Gateway of India,Air/Rail/Road,Chhatrapati Shivaji Maharaj International Airport,Mumbai CST,The Gateway of India is a major tourist attraction in Maharashtra.,"monument visits, cultural tours",medium,October to March
94,94,Pune,Maharashtra,Heritage,Shaniwar Wada,Air/Rail/Road,Pune Airport,Pune Junction,"Pune is a city in Maharashtra, India. It is the capital of Maharashtra and is the capital of the state of Maharashtra. The Shaniwar Wada is a temple in Pune.","monument visits, cultural tours",medium,October to March
95,95,Aurangabad,Maharashtra,Heritage,Ajanta Caves,Air/Rail/Road,Aurangabad Airport,Aurangabad Railway Station,Ajanta Caves is a cave in the Ajanta district of Maharashtra.,"monument visits, cultural tours",medium,October to March
96,96,Ellora,Maharashtra,Heritage,Kailasa Temple,Road,Aurangabad Airport,Aurangabad Railway Station,"The Kailasa Temple is a temple in the city of Ellora, Maharashtra.","monument visits, cultural tours",medium,October to March
97,97,Lonavala,Maharashtra,Nature,Bhushi Dam,Rail/Road,Pune Airport,Lonavala Railway Station,"Lonavala is a city in Maharashtra, India. It is the location of Bhushi Dam.","sightseeing, photography, relaxation",medium,October to March
98,98,Mahabaleshwar,Maharashtra,Mountains,Venna Lake,Road,Pune Airport,Satara Railway Station,"Mahabaleshwar is a city in Maharashtra, India. It is located on the banks of the Venna Lake.","trekking, hiking, camping, snow activities",medium,March to June
99,99,Nashik,Maharashtra,Religious,Trimbakeshwar Temple,Air/Rail/Road,Ozar Airport,Nashik Road,"The Trimbakeshwar Temple is a temple in Nashik, Maharashtra.","temple visits, spiritual activities",medium,All year
100,100,Kolhapur,Maharashtra,Religious,Mahalakshmi Temple,Air/Rail/Road,Kolhapur Airport,Kolhapur Railway Station,"The Mahalakshmi Temple is a temple in Kolhapur, Maharashtra.","temple visits, spiritual activities",medium,All year
101,101,New Delhi,Delhi,Heritage,Red Fort,Air/Rail/Road,Indira Gandhi International Airport,New Delhi Railway Station,The Red Fort is a major tourist attraction in New Delhi.,"monument visits, cultural tours",low,October to March
102,102,Qutub Minar Area,Delhi,Heritage,Qutub Minar,Rail/Road,Indira Gandhi International Airport,Qutab Minar Metro Station,Qutub Minar is a place in Delhi known for its Qutub Minar.,"monument visits, cultural tours",low,October to March
103,103,Humayun's Tomb,Delhi,Heritage,Humayun's Tomb Complex,Rail/Road,Indira Gandhi International Airport,Hazrat Nizamuddin Railway Station,Humayun's Tomb is a monument in Delhi known for its complex of tombs.,"monument visits, cultural tours",low,October to March
104,104,Lotus Temple Area,Delhi,Religious,Lotus Temple,Rail/Road,Indira Gandhi International Airport,Bahapur Railway Station,The Lotus Temple is a temple in the area of Delhi.,"temple visits, spiritual activities",low,All year
105,105,Chandigarh,Chandigarh,Heritage,Rock Garden,Air/Rail/Road,Chandigarh Airport,Chandigarh Railway Station,Chandigarh is a city in Chandigarh state in India. It is the capital city of Chandigarh state. The city is famous for its rock garden.,"monument visits, cultural tours",low,October to March
106,106,Hyderabad,Telangana,Heritage,Charminar,Air/Rail/Road,Rajiv Gandhi International Airport,Hyderabad Deccan,"Hyderabad is a city in Telangana, India. It is the capital of Telangana and is the capital of the state of Telangana. The city is famous for its Charminar.","monument visits, cultural tours",low,October to March
107,107,Warangal,Telangana,Heritage,Warangal Fort,Rail/Road,Rajiv Gandhi International Airport,Warangal Railway Station,The Warangal Fort is a fort in Telangana.,"monument visits, cultural tours",low,October to March
108,108,Nagarjunasagar,Telangana,Heritage,Nagarjunasagar Dam,Road,Rajiv Gandhi International Airport,Macherla Railway Station,"Nagarjunasagar is a village in the district of Nagarjunasagar, in the Central District of Telangana. It is located on the banks of the Nagarjunasagar River.","monument visits, cultural tours",low,October to March
109,109,Visakhapatnam,Andhra Pradesh,Beach,Rushikonda Beach,Air/Rail/Road,Visakhapatnam Airport,Visakhapatnam Junction,The beach is located in the Andhra Pradesh state of Andhra Pradesh.,"swimming, sunbathing, water sports, nightlife",low,November to February
110,110,Tirupati,Andhra Pradesh,Religious,Tirumala Venkateswara Temple,Air/Rail/Road,Tirupati Airport,Tirupati Railway Station,Tirumala Venkateswara Temple is a temple in Andhra Pradesh.,"temple visits, spiritual activities",low,All year
111,111,Vijayawada,Andhra Pradesh,Religious,Kanaka Durga Temple,Air/Rail/Road,Vijayawada Airport,Vijayawada Junction,Vijayawada is a city in Andhra Pradesh state. It is located on the banks of the Ganges River. The city is famous for its Kanaka Durga Temple.,"temple visits, spiritual activities",low,All year
112,112,Araku Valley,Andhra Pradesh,Nature,Borra Caves,Rail/Road,Visakhapatnam Airport,Araku Railway Station,Araku Valley is a valley in Andhra Pradesh state. It is located in the north of the state. The Borra Caves are a cave in the Araku Valley.,"sightseeing, photography, relaxation",low,October to March
113,113,Amaravati,Andhra Pradesh,Heritage,Amaravati Stupa,Road,Vijayawada Airport,Amaravati Railway Station,Amaravati is a city in Andhra Pradesh state. Amaravati is the capital city of Andhra Pradesh. Amaravati is the capital city of Andhra Pradesh.,"monument visits, cultural tours",low,October to March
114,114,Srisailam,Andhra Pradesh,Religious,Mallikarjuna Jyotirlinga,Road,Rajiv Gandhi International Airport,Markapur Road,Srisailam is a city in Andhra Pradesh state. It is located in the north of the state. The city is famous for its Mallikarjuna Jyotirlinga.,"temple visits, spiritual activities",low,All year
